# turbineX, turbineY, turbineZ
4.897515207505100534e+02 4.983695291295105356e+00 6.025134751786981013e+01
6.718667215524224048e+02 1.816474407783980283e+00 6.025134751786981013e+01
1.091900688364907182e+03 1.759263097167365686e+01 6.025134751786981013e+01
3.567944144974618439e+02 2.600431014883248508e+02 6.025134751786981013e+01
6.152114109833825069e+02 1.955182597729406098e+02 6.025134751786981013e+01
8.709070861304743403e+02 1.938202512783620932e+02 6.025134751786981013e+01
1.153883414778172437e+03 2.068725043867207205e+02 6.025134751786981013e+01
1.567750999999998839e+03 2.898575000000001864e+02 6.025134751786981013e+01
2.440646158174042455e+02 4.817450388924388562e+02 6.025134751786981013e+01
5.929994436320082514e+02 4.187175726339939956e+02 6.025134751786981013e+01
8.198144785791658933e+02 4.717934156618831594e+02 6.025134751786981013e+01
1.206663883597944960e+03 4.759182715641826462e+02 6.025134751786981013e+01
1.358680589056765484e+03 3.890610444391002716e+02 6.025134751786981013e+01
1.733365697570574866e+03 5.394796528599991916e+02 6.025134751786981013e+01
1.083815000000000737e+02 7.485885000000001810e+02 6.025134751786981013e+01
3.575661180292649988e+02 7.700608685679160317e+02 6.025134751786981013e+01
6.420709199114543253e+02 7.052342284039550577e+02 6.025134751786981013e+01
9.997516841327285420e+02 7.884091783851245054e+02 6.025134751786981013e+01
1.387973051169989276e+03 7.747596574451706601e+02 6.025134751786981013e+01
1.636119288276584712e+03 8.279702484320984013e+02 6.025134751786981013e+01
1.893629109795045224e+03 8.381680864754026743e+02 6.025134751786981013e+01
1.041328956539070845e+02 9.236176336805006031e+02 6.025134751786981013e+01
4.239624858184758409e+02 1.043191185508459967e+03 6.025134751786981013e+01
8.916765759886231990e+02 9.261517731111792955e+02 6.025134751786981013e+01
1.226273824206157997e+03 1.116978529463045788e+03 6.025134751786981013e+01
1.450987655027498022e+03 1.012275064725976904e+03 6.025134751786981013e+01
1.895731054664761587e+03 1.045850348759062626e+03 6.025134751786981013e+01
4.606695244302248682e+01 1.165951051079290437e+03 6.025134751786981013e+01
2.691061773519068083e+02 1.221008542252286134e+03 6.025134751786981013e+01
6.707004682368386739e+02 1.237697873114230561e+03 6.025134751786981013e+01
1.026044526440108029e+03 1.301108085641312982e+03 6.025134751786981013e+01
1.263294733082311268e+03 1.288100424102152601e+03 6.025134751786981013e+01
1.716109361278300412e+03 1.358613577030704846e+03 6.025134751786981013e+01
1.891995098042825020e+03 1.227044244922979033e+03 6.025134751786981013e+01
2.514106927016475090e+00 1.457653830349283453e+03 6.025134751786981013e+01
3.053307693543672485e+02 1.568336421628801418e+03 6.025134751786981013e+01
5.137182991642719116e+02 1.415374959003230970e+03 6.025134751786981013e+01
8.375617473051520392e+02 1.497534180188951495e+03 6.025134751786981013e+01
1.235226921594596206e+03 1.690551764325050044e+03 6.025134751786981013e+01
1.463753253845813333e+03 1.680519483809848225e+03 6.025134751786981013e+01
1.835711157626160457e+03 1.610508533932827504e+03 6.025134751786981013e+01
3.614715385137057257e+00 1.647095159640296743e+03 6.025134751786981013e+01
3.995304730913421736e+02 1.811457875905847686e+03 6.025134751786981013e+01
6.609143195025254727e+02 1.648508975908319371e+03 6.025134751786981013e+01
1.005855252783435503e+03 1.804717229850279637e+03 6.025134751786981013e+01
1.375430800001735406e+03 2.061502518056049666e+03 6.025134751786981013e+01
1.698030477515799703e+03 1.886874872862837265e+03 6.025134751786981013e+01
1.855087999999999738e+03 1.784513999999999896e+03 6.025134751786981013e+01
1.008200000000001317e+01 1.955907999999997855e+03 6.025134751786981013e+01
2.025560148638145108e+02 1.987218285903663173e+03 6.025134751786981013e+01
4.385921651400838073e+02 1.982125529921981297e+03 6.025134751786981013e+01
9.888011785947759336e+02 2.140325004069432453e+03 6.025134751786981013e+01
1.203327918740694713e+03 2.118632200859561181e+03 6.025134751786981013e+01
1.549420131546484299e+03 1.983730371977168716e+03 6.025134751786981013e+01
1.683527048343093497e+02 2.206734185727193562e+03 6.025134751786981013e+01
4.755819563664300631e+02 2.216966728472054456e+03 6.025134751786981013e+01
7.088200561635245549e+02 2.244707410024854198e+03 6.025134751786981013e+01
1.034640116329148213e+03 2.319233764979509942e+03 6.025134751786981013e+01
5.084978456392918247e+02 2.403769480705685510e+03 6.025134751786981013e+01
7.654735779811068141e+02 2.442132804611930169e+03 6.025134751786981013e+01
