# turbineX, turbineY, turbineZ
1.459369499999999562e+03 1.512299999999996203e+01 1.545404695830000037e+02
2.518503802999062373e+03 2.121107702409328795e+02 1.545404695830000037e+02
3.351384678006289050e+03 9.608083123040233886e+01 1.545404695830000037e+02
1.088189615076332984e+03 8.437412848387085660e+02 1.545404695830000037e+02
1.718306142888440036e+03 9.247063929889018254e+02 1.545404695830000037e+02
2.969336283014303262e+03 9.076022912430590850e+02 1.545404695830000037e+02
4.012798189365847065e+03 8.476844712717385164e+02 1.545404695830000037e+02
4.703252999999999702e+03 8.695724999999999909e+02 1.545404695830000037e+02
6.967675772350073657e+02 1.514906781437818154e+03 1.545404695830000037e+02
1.630682264107724677e+03 1.435376614167027128e+03 1.545404695830000037e+02
2.526388042804427187e+03 1.296755803024362422e+03 1.545404695830000037e+02
3.518811883775772912e+03 1.770671689756706201e+03 1.545404695830000037e+02
4.410449538053363540e+03 1.494526563083699330e+03 1.545404695830000037e+02
5.166203203926229435e+03 1.753132908674085002e+03 1.545404695830000037e+02
3.880917149916315907e+02 2.121969310516457426e+03 1.545404695830000037e+02
1.101845843669539363e+03 2.002662845505716405e+03 1.545404695830000037e+02
2.102777553742736472e+03 2.261672552003252804e+03 1.545404695830000037e+02
3.042288358620889085e+03 2.251075991812298980e+03 1.545404695830000037e+02
4.027918394897753842e+03 2.537834411592411470e+03 1.545404695830000037e+02
4.931248034902738254e+03 2.476138424904165731e+03 1.545404695830000037e+02
5.701371000000001004e+03 2.449926000000001295e+03 1.545404695830000037e+02
5.600934649754698285e+02 2.911397506798664836e+03 1.545404695830000037e+02
1.477177752640344124e+03 3.121392135015285021e+03 1.545404695830000037e+02
2.470229411376930784e+03 2.889969964822334077e+03 1.545404695830000037e+02
3.205923973038635722e+03 2.832952916720281792e+03 1.545404695830000037e+02
4.561840154500661811e+03 3.054387942852577908e+03 1.545404695830000037e+02
5.348273334531962064e+03 3.189888118472185852e+03 1.545404695830000037e+02
3.652263490920115032e+02 3.678640914436432467e+03 1.545404695830000037e+02
1.451871671817215883e+03 3.586670364525122295e+03 1.545404695830000037e+02
2.154046667353525208e+03 3.820812660424356181e+03 1.545404695830000037e+02
3.004516096663267945e+03 3.759302584709778330e+03 1.545404695830000037e+02
3.795457897704776769e+03 3.620933076251675629e+03 1.545404695830000037e+02
4.954533775532354412e+03 3.635083212701327284e+03 1.545404695830000037e+02
5.509467592891281129e+03 4.036822024602085094e+03 1.545404695830000037e+02
3.938164348034551665e+01 4.299140683031281696e+03 1.545404695830000037e+02
8.566078820235716194e+02 4.259409528254949691e+03 1.545404695830000037e+02
1.626783279611309126e+03 4.644187711207761822e+03 1.545404695830000037e+02
2.596395094486523703e+03 4.624091228231097375e+03 1.545404695830000037e+02
3.375690735668738853e+03 4.464049867921829900e+03 1.545404695830000037e+02
4.542293919427957007e+03 4.441071350610778609e+03 1.545404695830000037e+02
5.284878029286740457e+03 4.606152472126925204e+03 1.545404695830000037e+02
3.326644937288087363e+02 5.038846411015239937e+03 1.545404695830000037e+02
1.275386618986288795e+03 5.203811120882517571e+03 1.545404695830000037e+02
2.047465099377227716e+03 5.200351245305091652e+03 1.545404695830000037e+02
2.893930401175346105e+03 5.370595246715807662e+03 1.545404695830000037e+02
3.654529246082152440e+03 5.152728860995168361e+03 1.545404695830000037e+02
4.790542470488296203e+03 5.325861967406823169e+03 1.545404695830000037e+02
5.435559786609017465e+03 5.177134222812258486e+03 1.545404695830000037e+02
2.949112091658656354e+01 5.831678523767009210e+03 1.545404695830000037e+02
6.736761511147553847e+02 6.098539646242661547e+03 1.545404695830000037e+02
1.742616824159780890e+03 5.820557572012550736e+03 1.545404695830000037e+02
2.374868423105754573e+03 5.840845968678770987e+03 1.545404695830000037e+02
3.350057237432207330e+03 5.960892926180001268e+03 1.545404695830000037e+02
4.228989561903673348e+03 6.218530277575512628e+03 1.545404695830000037e+02
3.980372590542621651e+02 6.502999811093727658e+03 1.545404695830000037e+02
1.114904711602785483e+03 6.696902811561153612e+03 1.545404695830000037e+02
2.110012909942116949e+03 6.813529163280602006e+03 1.545404695830000037e+02
2.907109824223838586e+03 6.712955545039605568e+03 1.545404695830000037e+02
1.628942967638836762e+03 7.156320922587133282e+03 1.545404695830000037e+02
2.636317092616488935e+03 7.262457646105672211e+03 1.545404695830000037e+02
