# turbineX, turbineY, turbineZ
9.565883985884815957e+02 4.218704944265203238e+01 9.427656153784155890e+01
1.633661950361927666e+03 2.701131678730980479e+00 5.416110962711461241e+01
2.031975728352065289e+03 3.045113699830276843e+01 9.427656153784155890e+01
6.976046004164220449e+02 5.515218525143685611e+02 5.416110962711461241e+01
1.317229485514790213e+03 2.907989326030559596e+02 9.427656153784155890e+01
1.952138181281855623e+03 5.142563703544582268e+02 5.416110962711461241e+01
2.532728611676757282e+03 2.380022545036635790e+02 9.427656153784155890e+01
3.166695967167046092e+03 6.267319939909085633e+02 5.416110962711461241e+01
6.185854474827020795e+02 1.119047274189916379e+03 9.427656153784155890e+01
9.357920666290210647e+02 9.458146677010942085e+02 5.416110962711461241e+01
1.457649302033186814e+03 8.960009095399303760e+02 9.427656153784155890e+01
2.247921974908494576e+03 1.061772537004665992e+03 5.416110962711461241e+01
2.960246442785393356e+03 9.232205951805716495e+02 9.427656153784155890e+01
3.556990845576911852e+03 1.226745409294849651e+03 5.416110962711461241e+01
2.402685992631291185e+02 1.450949321449178797e+03 9.427656153784155890e+01
9.101967555142871333e+02 1.577873932936970050e+03 5.416110962711461241e+01
1.612621725267551028e+03 1.530536101557337361e+03 9.427656153784155890e+01
2.006921614343544206e+03 1.388512447369755591e+03 5.416110962711461241e+01
2.613560958162358929e+03 1.398345922892200633e+03 9.427656153784155890e+01
3.353549953238665239e+03 1.532645106069812073e+03 5.416110962711461241e+01
3.800913999999999305e+03 1.633284000000001697e+03 9.427656153784155890e+01
5.774414719309957036e+02 2.010968182672608691e+03 5.416110962711461241e+01
9.151804241168176759e+02 2.039214878529237922e+03 9.427656153784155890e+01
1.706659536385207730e+03 1.977195961773371664e+03 5.416110962711461241e+01
2.442376332302816536e+03 1.951831766224674084e+03 9.427656153784155890e+01
2.901133529283426014e+03 2.086152039300921842e+03 5.416110962711461241e+01
3.780420869983223838e+03 2.120931555830340130e+03 9.427656153784155890e+01
1.828475982081596385e+02 2.356587193466090412e+03 5.416110962711461241e+01
8.976834303607963648e+02 2.525967096927956391e+03 9.427656153784155890e+01
1.416699533729988616e+03 2.476390915249522550e+03 5.416110962711461241e+01
1.820292793423393505e+03 2.402990983911247440e+03 9.427656153784155890e+01
2.581105030549822914e+03 2.491842908372763759e+03 5.416110962711461241e+01
3.302726270261135596e+03 2.443733868637358682e+03 9.427656153784155890e+01
3.780832737465453647e+03 2.607225232925395630e+03 5.416110962711461241e+01
2.004858080253223420e+02 3.024177683642149987e+03 9.427656153784155890e+01
5.783725611079837563e+02 3.035936900694797259e+03 5.416110962711461241e+01
1.008878712921827173e+03 2.998512208591950184e+03 9.427656153784155890e+01
1.822209040425435887e+03 3.028477660246424421e+03 5.416110962711461241e+01
2.344026510043473991e+03 2.837818830369377338e+03 9.427656153784155890e+01
3.258030486472545363e+03 3.197871895420024885e+03 5.416110962711461241e+01
3.737989573747353006e+03 3.191558070571647932e+03 9.427656153784155890e+01
2.332161249229520479e+02 3.488498081941924283e+03 5.416110962711461241e+01
1.047484751042257130e+03 3.470806257186367020e+03 9.427656153784155890e+01
1.505261576278293660e+03 3.437179773340703832e+03 5.416110962711461241e+01
1.904971592487491989e+03 3.402867002855621649e+03 9.427656153784155890e+01
2.801785562087864946e+03 3.509708489672912037e+03 5.416110962711461241e+01
3.275852173341302660e+03 3.581486188619431687e+03 9.427656153784155890e+01
3.689949623669169796e+03 3.582210364673327149e+03 5.416110962711461241e+01
1.799054581605802738e+01 3.808033562716778306e+03 9.427656153784155890e+01
7.037309333671983040e+02 3.919460160298243864e+03 5.416110962711461241e+01
1.160645228240227198e+03 3.991168005185611491e+03 9.427656153784155890e+01
1.720934703828156216e+03 4.089033684315873415e+03 5.416110962711461241e+01
2.370284230803562878e+03 3.818627134904620561e+03 9.427656153784155890e+01
3.097867190017658231e+03 3.968094935859136513e+03 5.416110962711461241e+01
3.220456816721185191e+02 4.344085129569186392e+03 9.427656153784155890e+01
7.530512158971627059e+02 4.465022452114816588e+03 5.416110962711461241e+01
1.329454475107751705e+03 4.564955670927282881e+03 9.427656153784155890e+01
2.206886067676382481e+03 4.548784125046734516e+03 5.416110962711461241e+01
1.368872940566859143e+03 4.878425096957361347e+03 9.427656153784155890e+01
1.909107404721864214e+03 4.734482145848073742e+03 5.416110962711461241e+01
