# turbineX, turbineY, turbineZ
5.726369626776730684e+02 3.542209344736121146e+00 4.498917718251670550e+01
7.548615826033314988e+02 1.220282128976646696e+01 1.027631835533341302e+02
1.164030818796682524e+03 5.886296333212258958e+01 4.498917718251670550e+01
4.296265114276295094e+02 1.168066441923286618e+02 1.027631835533341302e+02
8.092971645986580143e+02 1.863222918830458354e+02 4.498917718251670550e+01
9.891003289662803581e+02 7.092877632209352079e+00 1.027631835533341302e+02
1.273057928069903028e+03 2.218788496499792018e+02 4.498917718251670550e+01
1.539256774926209800e+03 2.735541031794294327e+02 1.027631835533341302e+02
2.765758029726646896e+02 4.178063708204264231e+02 4.498917718251670550e+01
4.585674213909830428e+02 4.304503544754362565e+02 1.027631835533341302e+02
8.672239860746561817e+02 4.764936293048370430e+02 4.498917718251670550e+01
1.261718121948996441e+03 4.690716078785158629e+02 1.027631835533341302e+02
1.509811283936633799e+03 5.581145609356568684e+02 4.498917718251670550e+01
1.777160430098603001e+03 6.111477168310053685e+02 1.027631835533341302e+02
1.145577988818240556e+02 7.364417788657459596e+02 4.498917718251670550e+01
4.079095647254508208e+02 7.346502790509604210e+02 1.027631835533341302e+02
6.284781507820855495e+02 7.358204909720416254e+02 4.498917718251670550e+01
9.580732779851828127e+02 6.346938517856378894e+02 1.027631835533341302e+02
1.308431639967496949e+03 7.088446498629003827e+02 4.498917718251670550e+01
1.592279655183720706e+03 7.392137882757992884e+02 1.027631835533341302e+02
1.899571025497692972e+03 8.596117633619492153e+02 4.498917718251670550e+01
8.335849599753757388e+01 9.161844337839344234e+02 1.027631835533341302e+02
4.686035807325342830e+02 9.066882398716265925e+02 4.498917718251670550e+01
9.655967357140767717e+02 9.227594098161458760e+02 1.027631835533341302e+02
1.145443416938687733e+03 9.533537114372115866e+02 4.498917718251670550e+01
1.635208635118877055e+03 1.069889295025593128e+03 1.027631835533341302e+02
1.860249934177101522e+03 1.136606677064326504e+03 4.498917718251670550e+01
3.601715657676990645e+01 1.233261311764889115e+03 1.027631835533341302e+02
3.281545680368064950e+02 1.089753781052348131e+03 4.498917718251670550e+01
5.316641804608183293e+02 1.239239093178506664e+03 1.027631835533341302e+02
9.267985467473795325e+02 1.248166305871322265e+03 4.498917718251670550e+01
1.243673054661583137e+03 1.206247278772340678e+03 1.027631835533341302e+02
1.571842136088137522e+03 1.240960943781224614e+03 4.498917718251670550e+01
1.889560939731333292e+03 1.316666960789051473e+03 1.027631835533341302e+02
1.602652318497513440e+00 1.551019148208256865e+03 4.498917718251670550e+01
2.535301248631437545e+02 1.534885142290714839e+03 1.027631835533341302e+02
6.228472949794572742e+02 1.487892249938935720e+03 4.498917718251670550e+01
9.036163523999247218e+02 1.606088721120650689e+03 1.027631835533341302e+02
1.309740472388001535e+03 1.560599758939211142e+03 4.498917718251670550e+01
1.568558938375719208e+03 1.494107685649232280e+03 1.027631835533341302e+02
1.876155049845310714e+03 1.498604037813619698e+03 4.498917718251670550e+01
5.422344826492618175e+00 1.733409465465023914e+03 1.027631835533341302e+02
4.379057447160555512e+02 1.580154170660697901e+03 4.498917718251670550e+01
6.887775393640308721e+02 1.775286168812399410e+03 1.027631835533341302e+02
1.103341033241252944e+03 1.743441716931513838e+03 4.498917718251670550e+01
1.391472868413511151e+03 1.723696908545723545e+03 1.027631835533341302e+02
1.681133930522183164e+03 1.897887050256686280e+03 4.498917718251670550e+01
1.855087999999998601e+03 1.784513999999999896e+03 1.027631835533341302e+02
9.242037334486036926e+00 1.915799782721791416e+03 4.498917718251670550e+01
2.948831258134900963e+02 1.964172570952106753e+03 1.027631835533341302e+02
5.326865190711163223e+02 1.985753624798907822e+03 4.498917718251670550e+01
8.747481393375677499e+02 2.083735627043993190e+03 1.027631835533341302e+02
1.193569387068965625e+03 2.061158631058294759e+03 4.498917718251670550e+01
1.415149380449528280e+03 2.071240164980657028e+03 1.027631835533341302e+02
1.487606564448226436e+02 2.195385133306452190e+03 4.498917718251670550e+01
3.066186702443535523e+02 2.286827275446424665e+03 1.027631835533341302e+02
7.001655420326968624e+02 2.282029579080213807e+03 4.498917718251670550e+01
1.030266187523086273e+03 2.322084434997391782e+03 1.027631835533341302e+02
5.620715000000003556e+02 2.434803000000000338e+03 4.498917718251670550e+01
8.418470000000002074e+02 2.444885000000000218e+03 1.027631835533341302e+02
