# turbineX, turbineY, turbineZ
1.598656588584839938e+03 1.596739655670988256e+01 7.090933161866173862e+01
2.183885619343192047e+03 2.522719663596715733e+00 7.090933161866173862e+01
3.272310935421257909e+03 5.083760738020404091e+01 7.090933161866173862e+01
1.111434151318994964e+03 6.993958524059788715e+02 7.090933161866173862e+01
2.167013344799585866e+03 5.145144090345900167e+02 7.090933161866173862e+01
2.665330482654966090e+03 9.251089662564305627e+02 7.090933161866173862e+01
3.783295369454027423e+03 9.138688856439304118e+02 7.090933161866173862e+01
4.727496102702280041e+03 9.061128287106874950e+02 7.090933161866173862e+01
8.343804795763759330e+02 1.587093640868452439e+03 7.090933161866173862e+01
1.345463767348426472e+03 1.497493447986943920e+03 7.090933161866173862e+01
2.295788604313166616e+03 1.374314160976027779e+03 7.090933161866173862e+01
3.306939730072946077e+03 1.514700116452424254e+03 7.090933161866173862e+01
4.553553484500337618e+03 1.677851137501519815e+03 7.090933161866173862e+01
5.203963422734334927e+03 1.683392469480378850e+03 7.090933161866173862e+01
3.221008986700879291e+02 2.266150550767782079e+03 7.090933161866173862e+01
1.191341791674072056e+03 2.182217546909094835e+03 7.090933161866173862e+01
2.067920001989939010e+03 2.102858712154361911e+03 7.090933161866173862e+01
2.767830221438387071e+03 2.135726719083107128e+03 7.090933161866173862e+01
3.785790077456029394e+03 2.256466013156817098e+03 7.090933161866173862e+01
4.779154069075520965e+03 2.409241443688380059e+03 7.090933161866173862e+01
5.698586555777224021e+03 2.584971544804632231e+03 7.090933161866173862e+01
9.316282446170087042e+02 2.821666284373663984e+03 7.090933161866173862e+01
1.713464465776374482e+03 2.968878239042088353e+03 7.090933161866173862e+01
2.746315375350089198e+03 3.078298027223393547e+03 7.090933161866173862e+01
3.292424223155725031e+03 3.077471558733790516e+03 7.090933161866173862e+01
4.279733242752747174e+03 3.039017739183821504e+03 7.090933161866173862e+01
5.093143823440100277e+03 3.319239657180184167e+03 7.090933161866173862e+01
2.563661261455878844e+02 3.621492423853263972e+03 7.090933161866173862e+01
1.441344148612847675e+03 3.622490048074394508e+03 7.090933161866173862e+01
1.942766138164266749e+03 3.668545081239893079e+03 7.090933161866173862e+01
2.863783251253847538e+03 3.627045237152851769e+03 7.090933161866173862e+01
3.796142746816982253e+03 3.881962913741634111e+03 7.090933161866173862e+01
5.082975963509823487e+03 3.885442990297015513e+03 7.090933161866173862e+01
5.672766294932622259e+03 3.837254195767844067e+03 7.090933161866173862e+01
2.757815576467246643e+01 4.484919297872294010e+03 7.090933161866173862e+01
6.516971621515714332e+02 4.259256849255804809e+03 7.090933161866173862e+01
1.664348846735826328e+03 4.461184367307208049e+03 7.090933161866173862e+01
2.670356002488614195e+03 4.327679788754679066e+03 7.090933161866173862e+01
3.360809489329383723e+03 4.461449181058219438e+03 7.090933161866173862e+01
4.677143826303431524e+03 4.619715480010372630e+03 7.090933161866173862e+01
5.605916346270424583e+03 4.801831586329946731e+03 7.090933161866173862e+01
1.335241331853910118e+01 5.061055235960250684e+03 7.090933161866173862e+01
1.053910632197625546e+03 4.912314887201321653e+03 7.090933161866173862e+01
2.016168663860399874e+03 5.056675687688878497e+03 7.090933161866173862e+01
3.179022186127866007e+03 5.122300339194189291e+03 7.090933161866173862e+01
3.856737046422588719e+03 5.253339179568518375e+03 7.090933161866173862e+01
4.899419170471723191e+03 5.381687491091608535e+03 7.090933161866173862e+01
5.565264000000000124e+03 5.353541999999998552e+03 7.090933161866173862e+01
1.569428977161466037e+02 5.982758347623610462e+03 7.090933161866173862e+01
8.229119756864793089e+02 5.754560277078332547e+03 7.090933161866173862e+01
1.524357834843578985e+03 5.664927985819999776e+03 7.090933161866173862e+01
2.399394655466971471e+03 5.694458363179408479e+03 7.090933161866173862e+01
3.171780550147889699e+03 5.754885473745700438e+03 7.090933161866173862e+01
4.390248433765411392e+03 6.097478702966637684e+03 7.090933161866173862e+01
5.865403264139971498e+02 6.667402618959329629e+03 7.090933161866173862e+01
1.478052685318730255e+03 6.718350255784044748e+03 7.090933161866173862e+01
2.179920165718243879e+03 6.831545062164025694e+03 7.090933161866173862e+01
3.157444795095032077e+03 6.906573981253595775e+03 7.090933161866173862e+01
1.849759919626754481e+03 7.310302528635195813e+03 7.090933161866173862e+01
2.671846522446554445e+03 7.239301649549757713e+03 7.090933161866173862e+01
