# turbineXstart, turbineYstart
1.665437703982177254e+03 -1.095345152999998390e+02
2.359501063211459041e+03 -2.207757806964730207e+02
3.171061986086445813e+03 6.203840405706490202e+01
1.011121009531115533e+03 5.466583026354489903e+02
1.876993190181146929e+03 5.440830520817619345e+02
2.897867394152302950e+03 5.949278140171767291e+02
3.556044878121981583e+03 8.302575465904756129e+02
4.682113364130676018e+03 7.740169075960666305e+02
4.899573168449162495e+02 1.445718164029145100e+03
1.692469224202402984e+03 1.704791201606370123e+03
2.348363271753478784e+03 1.256810975147368936e+03
3.362312275746201067e+03 1.551568479060216532e+03
4.089238220661582545e+03 1.473913936210410611e+03
5.266639424601837163e+03 1.689487328929177238e+03
2.146977485089767868e+02 2.444541781490683661e+03
1.288643226992690870e+03 2.006168992297258001e+03
1.921725593866893632e+03 2.129183438243521778e+03
2.729420797304839652e+03 2.466796506287300417e+03
3.755768921839424365e+03 2.496068888293404598e+03
4.651259853176562501e+03 2.453019575676788463e+03
5.601897512195398122e+03 2.442404920537804173e+03
9.824689576554169435e+02 2.927337482049087612e+03
1.536367167369077151e+03 2.829581983241376747e+03
2.668184216676309916e+03 2.822965887432503223e+03
3.579630676859521827e+03 2.892330705095697340e+03
4.298826489298771776e+03 3.260846603436337773e+03
5.037604818948731008e+03 3.351843182917283229e+03
5.214523350414137894e+02 3.754354466871676777e+03
1.038285105604365981e+03 3.605205114899851651e+03
2.067066936151059053e+03 3.619993796307942830e+03
3.230221972253101285e+03 3.907162762190728699e+03
3.706826160637090197e+03 3.668788414478570303e+03
4.638644191028715795e+03 3.983793903064068218e+03
5.637884906329523801e+03 3.880701704558427082e+03
1.293099295870317178e+02 4.300865566712495820e+03
8.020476357719039697e+02 4.408649136267551512e+03
1.631175539318097890e+03 4.533217282173818603e+03
2.671741485686235137e+03 4.256500383542829695e+03
3.524018224803603516e+03 4.470731017691807210e+03
4.508235059913811710e+03 4.455850409066494649e+03
5.177896067494795716e+03 4.652774939028333392e+03
3.539670636584862677e+02 5.322992335173138599e+03
1.050266207524213769e+03 5.212963067219695404e+03
1.979225920543748998e+03 5.177425914398440909e+03
3.029953474351418663e+03 5.295369892224439354e+03
4.115671774929091953e+03 5.024564089910028088e+03
4.683997542908103242e+03 5.427817261165097079e+03
5.357693427740319748e+03 5.271241343505507757e+03
-1.184451364492120149e+02 5.708105197961033809e+03
6.586952360812483676e+02 5.827326766594240326e+03
1.868798036940675502e+03 5.884364571708500080e+03
2.384582685474913433e+03 5.792361516485215361e+03
3.227800592674498603e+03 5.752075822571789104e+03
4.322083955191008499e+03 6.083225209295505920e+03
5.344352119551884925e+02 6.352705952889162290e+03
1.318983120428360962e+03 6.817124766771651593e+03
2.306507200014090813e+03 6.374506861937925351e+03
3.165322816634767605e+03 6.617696203690169568e+03
1.679793971123245683e+03 7.272647785392484366e+03
2.600525573073191026e+03 7.191705533148037830e+03
