# turbineX, turbineY, turbineZ
-3.389856405733301017e+02 -1.949843259210161932e+03 1.470540328429999875e+02
6.676408793801955426e+02 1.863077057383708507e+03 1.470540328429999875e+02
-1.005977846868336428e+03 -1.704349902722365869e+03 1.470540328429999875e+02
1.099121879188359344e+03 1.488703296387570390e+03 1.470540328429999875e+02
-1.582080197429031159e+03 -1.051294524234230721e+03 1.470540328429999875e+02
1.602644845047878334e+03 9.379031216617258906e+02 1.470540328429999875e+02
-1.917261815412293345e+03 -4.908230930517883053e+02 1.470540328429999875e+02
1.863946905881573457e+03 6.652083395214407346e+02 1.470540328429999875e+02
1.158545116232692180e+03 -1.581967855230461964e+03 1.470540328429999875e+02
-1.002499118358267083e+03 1.513699174058230028e+03 1.470540328429999875e+02
3.907673239184066460e+02 -1.213095118024408066e+03 1.470540328429999875e+02
-5.622482263185801230e+02 8.959751496884487096e+02 1.470540328429999875e+02
-2.272857739176956215e+01 -3.305301230968476602e+02 1.470540328429999875e+02
6.645677536470859081e+01 5.535266550432052099e+02 1.470540328429999875e+02
-4.963216848816639981e+02 9.767860956128271255e+01 1.470540328429999875e+02
4.716347753135349308e+02 -1.841168819835693193e-01 1.470540328429999875e+02
-1.096350623853446905e+03 4.268399336933052837e+02 1.470540328429999875e+02
8.706037978118441742e+02 -5.560807234580269096e+02 1.470540328429999875e+02
-1.555028417293765415e+03 1.111468949982960794e+03 1.470540328429999875e+02
1.484631364857998506e+03 -9.625272282605578766e+02 1.470540328429999875e+02
1.914760504438807402e+03 -5.004919706571596976e+02 1.470540328429999875e+02
-1.910298892187019646e+03 5.172602278154168971e+02 1.470540328429999875e+02
1.417557732060604849e+03 2.241790295113422360e+02 1.470540328429999875e+02
-1.486503501967589045e+03 -1.303438192822344206e+02 1.470540328429999875e+02
9.949687502926545903e+02 4.515880919845646986e+02 1.470540328429999875e+02
-8.924245444236333924e+02 -3.943774913513167917e+02 1.470540328429999875e+02
5.838506452425248199e+02 1.022724067540993019e+03 1.470540328429999875e+02
-4.025586251498920660e+02 -1.121762565655251365e+03 1.470540328429999875e+02
1.462057774838397828e+00 1.421307749007797383e+03 1.470540328429999875e+02
1.159903658661943338e+00 -1.652548631526144163e+03 1.470540328429999875e+02
-6.172674422561509573e+02 1.880367273523880840e+03 1.470540328429999875e+02
6.611784118231427101e+02 -1.865380203238891227e+03 1.470540328429999875e+02
