# turbineXstart, turbineYstart
9.605122794403432636e+02 4.975242511423932257e+01
1.670171911446504964e+03 -8.518380250442433521e+01
2.039278031589870807e+03 -1.347672702677451753e+02
8.613514322388068649e+02 3.802927335726081992e+02
1.389549681781607660e+03 5.463470702185192067e+02
1.983112307818777936e+03 5.769687979255021446e+02
2.477213941380962751e+03 6.488423958438440877e+02
3.014521207083578247e+03 7.387036542350056152e+02
3.414698173106841637e+02 9.300398054921258790e+02
1.111545301832322821e+03 8.323236517089007975e+02
1.769858884565527205e+03 1.109868498985773613e+03
2.147890345386862009e+03 1.005730583817591878e+03
2.804152075863510163e+03 1.097730617861524479e+03
3.378034577983979034e+03 1.203274055279678805e+03
1.006742051243935521e+02 1.607772895662586507e+03
6.400268446610582487e+02 1.500899070518108601e+03
1.394405331928337318e+03 1.443045558767597413e+03
1.899847813029621193e+03 1.587959558535299720e+03
2.649400424334212858e+03 1.423501403757790058e+03
3.141914517427068404e+03 1.700012690676582224e+03
3.938339147395480268e+03 1.642114123334291889e+03
6.492623097398873142e+02 1.902490115680754116e+03
1.136586528906190324e+03 1.975866112673013276e+03
1.662085031742074079e+03 2.078107866108063718e+03
2.394935619577404395e+03 1.943584505810840255e+03
3.030687684045673905e+03 2.171633794725302323e+03
3.398161459147832829e+03 2.250593590535041130e+03
4.161917550382281661e+02 2.553142920358391621e+03
7.947209686489313754e+02 2.447157419428663161e+03
1.363222607126002458e+03 2.384098556962424027e+03
1.913912468441899364e+03 2.486198627991293961e+03
2.693070273793863635e+03 2.382859959203782637e+03
3.160658737265751824e+03 2.441001530882008865e+03
3.799122817115052385e+03 2.628234546204820163e+03
-4.571524669576118072e+01 3.101051661436776158e+03
6.657180429732196671e+02 2.967788140001606280e+03
9.880460790447011732e+02 3.038343536763129123e+03
1.732336015450343211e+03 3.009714141578108865e+03
2.157128889706758855e+03 2.932215642478966402e+03
3.001902429294217654e+03 3.140044233877899387e+03
3.390889221267357243e+03 3.018394995056625703e+03
2.253078115357665467e+02 3.381477557652041014e+03
9.210451494253471765e+02 3.419277773281531154e+03
1.274069832086431916e+03 3.397130902245823108e+03
1.933464351942629719e+03 3.372952725450806156e+03
2.549223327385400808e+03 3.466476627841128902e+03
3.075141193119632135e+03 3.515559817351664151e+03
3.743974871419226929e+03 3.621515639880359686e+03
-3.165662217539093604e+00 3.965303818987248633e+03
7.200671469913945657e+02 3.889205096991599476e+03
1.082515985003245305e+03 3.839966946932770497e+03
1.876358878836444319e+03 4.002703883052382480e+03
2.129648557404605071e+03 4.015613012835718564e+03
2.817808271435297229e+03 3.999973278533224402e+03
3.414621238695538636e+02 4.398047033557636496e+03
9.244798584452707928e+02 4.362810430146608269e+03
1.482435598619174243e+03 4.529072655300969018e+03
1.950822221382197313e+03 4.311753942812855712e+03
1.143806566068600887e+03 4.849457130009811408e+03
1.734993255809087486e+03 4.939181909524933872e+03
