# turbineX, turbineY, turbineZ
-3.709416029585004821e+02 -1.266176274292763310e+03 9.912723765033845780e+01
3.605906517025061930e+02 1.269162866581076742e+03 9.912723765033845780e+01
-6.402083451794815119e+02 -1.013296310155478750e+03 9.912723765033845780e+01
7.941847094834072323e+02 1.053598912231517716e+03 9.912723765033845780e+01
-1.057364304209793772e+03 -7.891645775479727263e+02 9.912723765033845780e+01
1.121805180981213425e+03 6.945164780371453617e+02 9.912723765033845780e+01
-1.271847874068939291e+03 -3.510028307330821917e+02 9.912723765033845780e+01
1.290826489727058515e+03 2.730695398750056597e+02 9.912723765033845780e+01
6.525440258648350209e+02 -7.232225291381430452e+02 9.912723765033845780e+01
-8.812433081628627178e+02 9.345848226959659542e+02 9.912723765033845780e+01
4.192429654937149053e+02 -9.430273466845161465e+02 9.912723765033845780e+01
-4.118415216925883442e+02 7.331102751861164961e+02 9.912723765033845780e+01
-2.015594122788006981e+00 -2.803912741036022567e+02 9.912723765033845780e+01
1.053081150011925615e+02 4.095002662358465386e+02 9.912723765033845780e+01
-1.960399173982532659e+02 1.302094505163902909e+02 9.912723765033845780e+01
3.402034461517463342e+02 3.254279257940205383e+01 9.912723765033845780e+01
-7.797668412603560455e+02 3.213749886685308184e+02 9.912723765033845780e+01
8.301770190788927266e+02 -3.665196084709148749e+02 9.912723765033845780e+01
-1.036456642901653595e+03 7.362364995142994530e+02 9.912723765033845780e+01
9.752054500347759358e+02 -8.886924836905009215e+02 9.912723765033845780e+01
1.250650416060595262e+03 -4.203255171790705731e+02 9.912723765033845780e+01
-1.210188509449855474e+03 5.255889761238279334e+02 9.912723765033845780e+01
1.068590684195525455e+03 -3.549813798674358623e+01 9.912723765033845780e+01
-1.138888875892575015e+03 6.199093252311055835e+01 9.912723765033845780e+01
7.632832569958623026e+02 3.789705669475746390e+02 9.912723765033845780e+01
-9.025772027416771834e+02 -5.404686349298062851e+02 9.912723765033845780e+01
3.111503924998586967e+02 7.888681259743729015e+02 9.912723765033845780e+01
-3.064205748657930144e+02 -4.479393341608799233e+02 9.912723765033845780e+01
-1.018698289173436820e+02 1.151887782983660600e+03 9.912723765033845780e+01
-1.046293372752141124e+02 -1.121671416137775850e+03 9.912723765033845780e+01
-5.353767096983941656e+02 1.205890450964647471e+03 9.912723765033845780e+01
2.460802823186786554e+02 -1.296242452579927431e+03 9.912723765033845780e+01
