# turbineX, turbineY, turbineZ
2.848633132957257658e+03 1.732303776524196692e+01 8.999500000000000455e+01
2.158059503387042696e+03 5.386694567992727798e+02 8.999500000000000455e+01
3.733328684602833164e+03 3.146158040768792148e+02 8.999500000000000455e+01
5.021875030444185199e+02 1.897580927345976988e+03 8.999500000000000455e+01
1.471371839641202996e+03 1.066767609680588521e+03 8.999500000000000455e+01
2.737225644117014326e+03 6.511992318335815071e+02 8.999500000000000455e+01
4.703252999999998792e+03 8.695724999999990814e+02 8.999500000000000455e+01
5.134346384258160469e+03 1.519336441490558173e+03 8.999500000000000455e+01
4.772046767918588444e+02 2.557886961105419232e+03 8.999500000000000455e+01
1.149936116112692616e+03 1.405040511892361337e+03 8.999500000000000455e+01
1.819087608091511356e+03 2.488250443886835455e+03 8.999500000000000455e+01
3.339978323415006344e+03 8.034660468068261707e+02 8.999500000000000455e+01
4.221069831321103266e+03 1.076270614406540290e+03 8.999500000000000455e+01
5.252776354014093158e+03 1.925376380851217846e+03 8.999500000000000455e+01
2.315544610445910791e+02 2.872601109747856754e+03 8.999500000000000455e+01
1.194352153585809219e+03 2.511808778974299457e+03 8.999500000000000455e+01
2.329225031150008363e+03 2.374730196951345079e+03 8.999500000000000455e+01
2.725276830376577891e+03 1.822172239803551975e+03 8.999500000000000455e+01
2.618714908611054852e+03 1.304950061440020136e+03 8.999500000000000455e+01
4.463614809225955469e+03 1.770622598660532503e+03 8.999500000000000455e+01
5.687437294526731421e+03 3.125710715453547436e+03 8.999500000000000455e+01
2.638001079868480701e+03 3.387153249373027393e+03 8.999500000000000455e+01
1.668788420558891630e+03 3.213052534633948198e+03 8.999500000000000455e+01
3.442766335973662081e+03 2.487303962582528584e+03 8.999500000000000455e+01
3.938640491022668812e+03 2.370753091861892244e+03 8.999500000000000455e+01
4.506646433280532619e+03 2.456000549703938759e+03 8.999500000000000455e+01
5.392012239722771483e+03 2.600110398489026466e+03 8.999500000000000455e+01
1.653016532951461670e+02 3.316340845372048079e+03 8.999500000000000455e+01
1.186831623421477843e+03 3.835097592666784294e+03 8.999500000000000455e+01
1.322038723903527170e+03 4.459209211825538659e+03 8.999500000000000455e+01
3.244937702776440801e+03 3.301623676645699561e+03 8.999500000000000455e+01
4.137489251490448623e+03 3.478553983019795396e+03 8.999500000000000455e+01
4.428152499026236910e+03 4.422122051943487349e+03 8.999500000000000455e+01
4.933491709918503147e+03 3.702965046449659440e+03 8.999500000000000455e+01
6.413950916713686183e+02 4.662804995786520522e+03 8.999500000000000455e+01
6.697685609147464447e+02 5.292581908352122809e+03 8.999500000000000455e+01
2.554686893768117898e+03 4.642669279880889917e+03 8.999500000000000455e+01
3.729436431103805717e+03 5.439878507437019834e+03 8.999500000000000455e+01
2.678388339607382932e+03 4.040639071355471060e+03 8.999500000000000455e+01
3.539059895514765230e+03 4.255666159576788232e+03 8.999500000000000455e+01
5.526872465290110085e+03 4.628149369647831008e+03 8.999500000000000455e+01
2.192962016619923560e+01 5.470616862936015423e+03 8.999500000000000455e+01
1.287621057225598634e+03 5.653205728298457871e+03 8.999500000000000455e+01
2.241932293306645533e+03 5.299265324935869103e+03 8.999500000000000455e+01
3.033709759927826326e+03 5.446370337950539579e+03 8.999500000000000455e+01
4.001990907360347137e+03 5.264931589187641293e+03 8.999500000000000455e+01
4.666722075871705783e+03 5.228132867627894484e+03 8.999500000000000455e+01
5.671797038674682881e+03 3.884263124277882980e+03 8.999500000000000455e+01
5.162125827130550348e+00 4.669969008245463556e+03 8.999500000000000455e+01
6.234295921539759320e+02 6.488769886429270628e+03 8.999500000000000455e+01
1.729891468668491143e+03 6.373064292648709852e+03 8.999500000000000455e+01
3.170908145387399145e+03 6.166650831510515673e+03 8.999500000000000455e+01
4.486304401557375968e+03 6.056744524358125091e+03 8.999500000000000455e+01
5.532747159699158146e+03 5.374734567559255993e+03 8.999500000000000455e+01
1.864167234388074803e+03 7.202728480674927596e+03 8.999500000000000455e+01
2.270619541193110308e+03 5.986398907328964015e+03 8.999500000000000455e+01
2.939906429005279733e+03 7.064595939305017964e+03 8.999500000000000455e+01
3.694017017194697928e+03 6.573110929092013066e+03 8.999500000000000455e+01
1.229484260931631979e+03 7.039839654198201970e+03 8.999500000000000455e+01
2.381058614194552774e+03 7.324554696196139048e+03 8.999500000000000455e+01
