# turbineXstart, turbineYstart
1.055136350825735917e+03 1.542445986436837870e+02
1.442458557426151174e+03 2.136243529187892705e+02
2.332480078351821703e+03 -1.270236605478463758e+02
7.117380566830868247e+02 5.542779788187408485e+02
1.229043004618703208e+03 7.074121593105944612e+02
1.665829878436327363e+03 3.735114085074914669e+02
2.470110530631263373e+03 6.906777971963689424e+02
3.277058139135004240e+03 7.182156775467159378e+02
2.311983958082750803e+02 1.097133946288217885e+03
9.873361101444561427e+02 7.685636165534730253e+02
1.787099607527502485e+03 8.891882890874753684e+02
2.391726115663112068e+03 8.539609456519837067e+02
2.912739105429225674e+03 1.273298387055273452e+03
3.484659294810469873e+03 1.129144278839457911e+03
3.454872674605702514e+02 1.720068852807993608e+03
5.964972059502554202e+02 1.267281875209974032e+03
1.356669258081173894e+03 1.341801647051343934e+03
2.138590935197861654e+03 1.423364973369377594e+03
2.723669627683299950e+03 1.635053956881641852e+03
3.175335292317363837e+03 1.433886286170820085e+03
3.611209235125024861e+03 1.601193941499634548e+03
6.533625035759554294e+02 2.063958958766436808e+03
1.310116463011879205e+03 1.743263446742255155e+03
1.591538515448790349e+03 2.008235898151563333e+03
2.513281756372654399e+03 1.872026478955890752e+03
2.826551118106850481e+03 2.109511284764186257e+03
3.547096011321359583e+03 2.114449465290257194e+03
2.494142969208507168e+02 2.488566266445322981e+03
8.001673608113006821e+02 2.245697788404974290e+03
1.269090080152854853e+03 2.447125959649679316e+03
2.174939260252218446e+03 2.670124372002151176e+03
2.418791323003204525e+03 2.578242816168604350e+03
3.109517011527099385e+03 2.458522637285331257e+03
3.883827149224871391e+03 2.407633803258942862e+03
1.558194961356049362e+02 2.731590114258986432e+03
6.597462412457825849e+02 2.972721707415342735e+03
1.330719641102123887e+03 3.090260854182187813e+03
1.748283387664440852e+03 2.959674013366988220e+03
2.513948768187075984e+03 2.928048074915573579e+03
2.997352741681691441e+03 2.806796453809025024e+03
3.419695550294172335e+03 2.991612011671509208e+03
1.092056207093834814e+02 3.285900981386734202e+03
8.423318964562877227e+02 3.378336846692103791e+03
1.417760203724023086e+03 3.613286374573292051e+03
1.896430552387356784e+03 3.637212323715563343e+03
2.483775226420595118e+03 3.394949198402286129e+03
2.990847885112114454e+03 3.606629273336762708e+03
3.924650478710706011e+03 3.451711844306805688e+03
1.237420650002362805e+02 3.966877885269256240e+03
3.897918488843606610e+02 4.000468389908708104e+03
1.280973319756445107e+03 4.024069318777231274e+03
1.924600821031931446e+03 3.907902594221975050e+03
2.375809304801317921e+03 3.749433611039667994e+03
3.003251157379136203e+03 3.975686364758446871e+03
4.001672219681148022e+02 4.299184947589088551e+03
1.082512983443377379e+03 4.439619948979100627e+03
1.613493172979963902e+03 4.306014176633999341e+03
1.984147029645591147e+03 4.600191633242610806e+03
8.942467624462396998e+02 4.683399012482245780e+03
1.484667892590037809e+03 4.660811574213073982e+03
