# turbineXstart, turbineYstart
1.059448063554269993e+03 -9.669261940160433255e+01
1.510483375351537461e+03 1.016404970959863476e+02
2.120577295476656218e+03 5.735245822933976001e+00
5.733716618177734290e+02 4.908086521970286640e+02
1.180494322806114496e+03 4.699482668418612548e+02
1.980595058802797666e+03 4.880311053412273736e+02
2.452915015536504143e+03 4.372587141721598414e+02
3.243547865346868548e+03 5.526857673233203059e+02
3.140411212619446815e+02 1.074898103234871996e+03
9.837920905551995929e+02 8.273333149851054031e+02
1.480868728706784168e+03 9.930315866550431565e+02
2.281051845700825197e+03 9.583517456114925608e+02
2.886823261050273686e+03 1.134348853139660605e+03
3.424586197220590293e+03 1.033537350869737793e+03
2.223763536969042036e+02 1.444423204059165073e+03
7.388930364514320672e+02 1.626703274513883798e+03
1.397033728071647602e+03 1.614535983845714327e+03
1.939912119612673678e+03 1.395435140293818677e+03
2.720438037878587693e+03 1.373501868567487691e+03
3.282171904176345379e+03 1.679180200196335591e+03
3.785360467674780466e+03 1.592360107846781602e+03
4.400208911288752347e+02 2.105279919594573130e+03
1.012135953638104638e+03 1.904099684171758327e+03
1.728299686281509366e+03 2.079213283221115944e+03
2.440207440165753269e+03 1.909371070268542098e+03
2.750293096670134219e+03 1.942567071486927034e+03
3.511478073001057055e+03 2.036458578087869455e+03
3.284839025879018095e+02 2.583721904013209041e+03
9.178733102140722622e+02 2.469526760698573526e+03
1.374083359460125394e+03 2.508003618466834723e+03
1.998005155829411024e+03 2.345692970571154092e+03
2.670559200955891356e+03 2.416060329246635320e+03
3.197731111902953671e+03 2.429236943534541297e+03
3.846072525726348431e+03 2.622055656714908309e+03
2.449034480499832966e+01 2.807695257006790598e+03
6.573802261972826955e+02 2.907579107048016795e+03
9.986299964507741151e+02 3.048278591517217592e+03
1.755122808983655204e+03 3.014722594948991173e+03
2.188404504666999856e+03 2.922904668453744307e+03
2.856315720091168714e+03 3.035367327443575050e+03
3.556108811383896864e+03 3.170316889138448005e+03
3.353302961159854476e+02 3.514703964237477521e+03
7.930011640154359611e+02 3.579363091945600900e+03
1.507464452338828778e+03 3.285727520061261202e+03
1.981060226737451103e+03 3.307994367969914492e+03
2.572223195400617442e+03 3.368706040170882261e+03
3.235369109862547703e+03 3.666672497214293799e+03
3.682130512081092547e+03 3.468453542539258706e+03
1.668862382898872738e+02 3.864200318708642953e+03
6.499472113970593909e+02 3.966967152366018581e+03
1.039799256220067264e+03 3.839288205869997000e+03
1.826101540873060912e+03 3.847579685943781442e+03
2.168104334286204903e+03 3.860322294646963655e+03
2.686482329885469881e+03 4.087977739246411602e+03
1.513161514482289647e+02 4.482904787471280542e+03
9.898011012808293572e+02 4.235803536850783530e+03
1.423548456852094205e+03 4.553075608384009684e+03
1.856693869228646690e+03 4.472203551451719250e+03
1.260209176648807443e+03 5.012551092055896333e+03
1.573444041323513147e+03 4.769106634819556348e+03
