# turbineXstart, turbineYstart
5.748237794378630952e+02 3.358930618363459075e+01
6.876329170248117180e+02 -1.097454512585753292e+02
9.760141559658065944e+02 4.784057003248728535e+01
2.788212673503483643e+02 2.771271216458118261e+02
6.805675953785982983e+02 3.020785602974195854e+02
9.461374843735891318e+02 1.852134498130369877e+02
1.209300316360900069e+03 2.963952042942972867e+02
1.495934190975140837e+03 2.907068558404417900e+02
1.677922387911303019e+02 5.085033125935433418e+02
5.340908768503293231e+02 4.776583692490268049e+02
8.997851709500898778e+02 4.415812607282443878e+02
1.100902793034968226e+03 5.292522507577723445e+02
1.437160345649925830e+03 5.266966953534900995e+02
1.712676360815082717e+03 5.729983441274099505e+02
1.057532204432867218e+02 6.574120934569816654e+02
4.108004061220451604e+02 6.829742227793030906e+02
5.915186600355451674e+02 6.283896068939908446e+02
8.769789144636986293e+02 6.812972431322667717e+02
1.196234909674177288e+03 6.558537920649707758e+02
1.712493392147500799e+03 7.925078853719187464e+02
1.952729500844566928e+03 9.302204758957399235e+02
2.523830363473089449e+02 9.006892167789345649e+02
6.303344235166975977e+02 9.896422813260951443e+02
7.328678121604465332e+02 1.098565828051971266e+03
1.161915873888633087e+03 9.863358295809458696e+02
1.397863557675512766e+03 9.555469961956137013e+02
1.755908705005718275e+03 1.090753744596500383e+03
1.948364227185037976e+02 1.218012338238042048e+03
4.289823977582045700e+02 1.224063262476687669e+03
6.560583507900328186e+02 1.297529462713885096e+03
1.001261634636354302e+03 1.187238675899460986e+03
1.293207828650902229e+03 1.231923512983226829e+03
1.665893668576282835e+03 1.361194830618082051e+03
1.835930918720976479e+03 1.294470272760741409e+03
-1.153624603860018709e+02 1.485905335348842755e+03
2.526269097664735170e+02 1.510277425022660736e+03
4.545798759136963554e+02 1.435936905758522244e+03
8.386861463028972139e+02 1.475204000056719451e+03
1.270621514080702127e+03 1.531145046764897870e+03
1.372616242402111311e+03 1.530440041105257706e+03
1.690664503789825176e+03 1.650787840490606186e+03
6.225797077530494050e+01 1.591591703016589236e+03
3.895737475546760038e+02 1.785178183317875209e+03
7.791017590948708857e+02 1.807397876214518874e+03
9.027195123202263858e+02 1.660575980491101063e+03
1.318778963358667852e+03 1.790741684201819908e+03
1.577402374862755551e+03 1.714489634418688183e+03
1.892967421588218258e+03 1.667455096609721750e+03
9.657847694861465015e+01 2.061890261793954778e+03
3.590224213979231536e+02 2.049962937015140596e+03
6.044665696740455587e+02 1.976012859345628613e+03
7.738632947500742603e+02 1.950496336227980237e+03
1.184122155964764488e+03 1.878023790432378291e+03
1.341516429971941989e+03 1.880819767047423738e+03
2.186627722128243079e+02 2.215374966818337725e+03
4.106254937010274944e+02 2.167871103168538411e+03
8.142083593873863947e+02 2.282990227937715645e+03
1.036212594744708895e+03 2.309711808237952027e+03
5.170661722139695939e+02 2.475207909955794094e+03
9.421355344052299188e+02 2.555150597427470984e+03
